Valoare,Data
70.2,2000-01
69.3,2000-02
70.6,2000-03
71.4,2000-04
71.9,2000-05
70.9,2000-06
70.3,2000-07
70.8,2000-08
70.4,2000-09
69.9,2000-10
67.9,2000-11
67.9,2000-12
75.2,2001-01
74.9,2001-02
75.6,2001-03
76.2,2001-04
76.6,2001-05
76.2,2001-06
76.6,2001-07
75.2,2001-08
74.3,2001-09
74.1,2001-10
74.1,2001-11
73.5,2001-12
75.3,2002-01
75.7,2002-02
75.3,2002-03
75.0,2002-04
75.7,2002-05
75.2,2002-06
75.1,2002-07
74.9,2002-08
75.3,2002-09
74.7,2002-10
73.3,2002-11
72.2,2002-12
73.2,2003-01
75.4,2003-02
75.1,2003-03
76.7,2003-04
77.7,2003-05
78.1,2003-06
77.6,2003-07
78.3,2003-08
76.8,2003-09
76.9,2003-10
75.9,2003-11
75.2,2003-12
74.1,2004-01
75.0,2004-02
76.1,2004-03
76.8,2004-04
76.5,2004-05
75.5,2004-06
75.2,2004-07
75.4,2004-08
74.9,2004-09
75.6,2004-10
75.6,2004-11
74.9,2004-12
77.0,2005-01
81.0,2005-02
79.2,2005-03
79.8,2005-04
79.9,2005-05
79.6,2005-06
80.2,2005-07
80.6,2005-08
80.4,2005-09
80.9,2005-10
80.0,2005-11
79.1,2005-12
86.4,2006-01
87.6,2006-02
89.8,2006-03
91.3,2006-04
91.6,2006-05
92.3,2006-06
92.1,2006-07
92.1,2006-08
92.2,2006-09
92.1,2006-10
91.8,2006-11
91.2,2006-12
98.9,2007-01
97.2,2007-02
98.4,2007-03
97.1,2007-04
97.4,2007-05
98.5,2007-06
100.2,2007-07
100.2,2007-08
100.9,2007-09
100.4,2007-10
100.3,2007-11
100.1,2007-12
102.0,2008-01
102.1,2008-02
103.8,2008-03
104.1,2008-04
104.3,2008-05
104.3,2008-06
105.0,2008-07
104.9,2008-08
105.3,2008-09
105.7,2008-10
104.9,2008-11
104.3,2008-12
110.7,2009-01
109.5,2009-02
109.0,2009-03
108.1,2009-04
107.0,2009-05
106.9,2009-06
105.7,2009-07
105.1,2009-08
104.3,2009-09
103.7,2009-10
103.7,2009-11
102.7,2009-12
105.0,2010-01
103.9,2010-02
102.8,2010-03
102.2,2010-04
100.8,2010-05
100.0,2010-06
99.1,2010-07
98.7,2010-08
98.6,2010-09
96.9,2010-10
97.7,2010-11
97.0,2010-12
98.9,2011-01
99.6,2011-02
100.1,2011-03
100.2,2011-04
101.4,2011-05
104.2,2011-06
104.7,2011-07
104.8,2011-08
104.0,2011-09
104.5,2011-10
104.0,2011-11
103.3,2011-12
105.9,2012-01
107.3,2012-02
107.9,2012-03
108.2,2012-04
108.6,2012-05
110.1,2012-06
110.4,2012-07
110.9,2012-08
110.7,2012-09
110.0,2012-10
110.5,2012-11
110.9,2012-12
113.4,2013-01
114.3,2013-02
114.8,2013-03
114.5,2013-04
114.7,2013-05
114.6,2013-06
115.1,2013-07
114.9,2013-08
114.3,2013-09
114.8,2013-10
115.3,2013-11
114.4,2013-12
116.5,2014-01
117.3,2014-02
117.3,2014-03
116.3,2014-04
116.4,2014-05
117.0,2014-06
117.4,2014-07
118.1,2014-08
118.7,2014-09
119.5,2014-10
119.5,2014-11
118.6,2014-12
120.3,2015-01
121.3,2015-02
121.8,2015-03
121.4,2015-04
121.9,2015-05
122.6,2015-06
123.7,2015-07
124.1,2015-08
124.4,2015-09
125.9,2015-10
126.9,2015-11
127.1,2015-12
130.4,2016-01
130.7,2016-02
131.9,2016-03
133.5,2016-04
133.6,2016-05
133.8,2016-06
133.9,2016-07
134.3,2016-08
135.0,2016-09
135.6,2016-10
136.4,2016-11
135.8,2016-12
138.0,2017-01
138.1,2017-02
139.2,2017-03
139.7,2017-04
139.8,2017-05
140.0,2017-06
140.5,2017-07
140.8,2017-08
141.2,2017-09
142.0,2017-10
141.7,2017-11
141.7,2017-12
144.5,2018-01
145.1,2018-02
145.0,2018-03
145.3,2018-04
145.7,2018-05
146.6,2018-06
147.8,2018-07
148.3,2018-08
148.8,2018-09
149.5,2018-10
149.9,2018-11
149.8,2018-12
151.7,2019-01
153.7,2019-02
154.1,2019-03
153.5,2019-04
151.9,2019-05
152.0,2019-06
152.9,2019-07
153.1,2019-08
153.9,2019-09
154.7,2019-10
154.9,2019-11
154.6,2019-12
154.0,2020-01
153.3,2020-02
152.9,2020-03
149.8,2020-04
147.8,2020-05
148.5,2020-06
148.1,2020-07
148.4,2020-08
149.0,2020-09
149.4,2020-10
151.2,2020-11
150.8,2020-12
152.4,2021-01
152.1,2021-02
152.4,2021-03
152.7,2021-04
153.0,2021-05
153.1,2021-06
153.6,2021-07
154.0,2021-08
155.0,2021-09
155.6,2021-10
156.0,2021-11
155.6,2021-12
157.3,2022-01
157.4,2022-02
158.6,2022-03
159.0,2022-04
159.6,2022-05
159.5,2022-06
160.3,2022-07
160.5,2022-08
161.9,2022-09
